,Tree Depth,Number of Trees,Shrinkage,Accuracy Score
0,2,100,0.1,0.7561759399581439
0,2,100,0.2,0.7585887998845349
0,2,500,0.1,0.7481190012268167
0,2,500,0.2,0.744896081402901
0,2,1000,0.1,0.7403312405282528
0,2,1000,0.2,0.7392584975102836
0,5,100,0.1,0.752415385725626
0,5,100,0.2,0.7508014000144331
0,5,500,0.1,0.7448975247167496
0,5,500,0.2,0.7454297466984195
0,5,1000,0.1,0.7454304683553439
0,5,1000,0.2,0.746505376344086
0,10,100,0.1,0.7508046474705925
0,10,100,0.2,0.7534852421158981
0,10,500,0.1,0.7612737244713863
0,10,500,0.2,0.7553651584036949
0,10,1000,0.1,0.758320704337158
0,10,1000,0.2,0.7628891534964277
