,Hidden Layer Size,Learning Rate,Epochs,Accuracy Score
0,2,0.1,50,0.7051742801472181
0,2,0.1,100,0.7261099083495706
0,2,0.1,150,0.7242307137186981
0,2,0.1,200,0.7467810492891679
0,2,0.01,50,0.6957396983474056
0,2,0.01,100,0.6987288013278488
0,2,0.01,150,0.7492022082701884
0,2,0.01,200,0.7459782059608863
0,2,0.001,50,0.5805019123908495
0,2,0.001,100,0.5209045969546078
0,2,0.001,150,0.6227278631738471
0,2,0.001,200,0.675631810637223
0,4,0.1,50,0.7513484159630511
0,4,0.1,100,0.750810781554449
0,4,0.1,150,0.7534989535974598
0,4,0.1,200,0.7594046330374541
0,4,0.01,50,0.7239644223136321
0,4,0.01,100,0.7545680883308076
0,4,0.01,150,0.7508096990690626
0,4,0.01,200,0.7586007072237858
0,4,0.001,50,0.49489211228981744
0,4,0.001,100,0.6498542253012918
0,4,0.001,150,0.6893201991773111
0,4,0.001,200,0.6938605037165331
0,8,0.1,50,0.7569823915710472
0,8,0.1,100,0.7483943133434365
0,8,0.1,150,0.7602096413365087
0,8,0.1,200,0.7473215703254673
0,8,0.01,50,0.7475878617305333
0,8,0.01,100,0.7534931803420654
0,8,0.01,150,0.752151620119795
0,8,0.01,200,0.7551060835678718
0,8,0.001,50,0.6345385003969113
0,8,0.001,100,0.6799069062567655
0,8,0.001,150,0.7253020134228187
0,8,0.001,200,0.7403406220682687
0,16,0.1,50,0.7537652450025257
0,16,0.1,100,0.7483899834018907
0,16,0.1,150,0.7408742873637872
0,16,0.1,200,0.7352334560150104
0,16,0.01,50,0.7529595150465468
0,16,0.01,100,0.7647752038680811
0,16,0.01,150,0.7502702605181497
0,16,0.01,200,0.7379176589449375
0,16,0.001,50,0.6702417550696399
0,16,0.001,100,0.7346940174640977
0,16,0.001,150,0.7497351519087825
0,16,0.001,200,0.7604788193692719
0,32,0.1,50,0.7561781049289168
0,32,0.1,100,0.7470469798657717
0,32,0.1,150,0.7287814822833225
0,32,0.1,200,0.726641047845854
0,32,0.01,50,0.7602060330518872
0,32,0.01,100,0.7526874503860864
0,32,0.01,150,0.735767121310529
0,32,0.01,200,0.7295955112939309
0,32,0.001,50,0.7137540593201992
0,32,0.001,100,0.7513484159630511
0,32,0.001,150,0.7572562603738182
0,32,0.001,200,0.7615490365880061
0,64,0.1,50,0.7502691780327633
0,64,0.1,100,0.7483964783142094
0,64,0.1,150,0.7287886988525655
0,64,0.1,200,0.7014032618892977
0,64,0.01,50,0.7615522840441653
0,64,0.01,100,0.7489265353251064
0,64,0.01,150,0.7312026412643429
0,64,0.01,200,0.7099841235476654
0,64,0.001,50,0.7483946741718986
0,64,0.001,100,0.7561820740420004
0,64,0.001,150,0.7623562098578336
0,64,0.001,200,0.7572537345745831
0,128,0.1,50,0.744902937143682
0,128,0.1,100,0.7400692790647326
0,128,0.1,150,0.7252911885689542
0,128,0.1,200,0.7207335642635491
0,128,0.01,50,0.7548390705058814
0,128,0.01,100,0.7282496211301148
0,128,0.01,150,0.726371869813091
0,128,0.01,200,0.7183109619686802
0,128,0.001,50,0.7596720069279065
0,128,0.001,100,0.7607454716028
0,128,0.001,150,0.7591332900339178
0,128,0.001,200,0.7497326261095475
